Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Status Category,Status Category Changed
Conduct security and compliance testing,SCRUM-71,10087,Story,Release Planning,SCRUM,JIRA PROJECT-1,software,suganthi sanjeev,712020:48899adb-18b6-4a57-bbac-6e2dfa730a33,,Medium,Done,,,suganthi sanjeev,712020:48899adb-18b6-4a57-bbac-6e2dfa730a33,suganthi sanjeev,712020:48899adb-18b6-4a57-bbac-6e2dfa730a33,03-05-2024 15:48,29-07-2024 16:48,29-07-2024 16:59,29-07-2024 16:48,,0,,,suganthi sanjeev,712020:48899adb-18b6-4a57-bbac-6e2dfa730a33,,,,,,,,,,,,,,,,,,,,,,,0|hzzzzw:,,,SPRINT 5,SPRINT 10,SPRINT 11,SPRINT 12,,,,,,,,,,,,,10007_*:*_1_*:*_92896_*|*_10000_*:*_1_*:*_19833948_*|*_10002_*:*_1_*:*_0_*|*_10001_*:*_1_*:*_48242_*|*_10004_*:*_1_*:*_7499973386_*|*_10006_*:*_1_*:*_24278_*|*_10005_*:*_1_*:*_396441,Done,29-07-2024 16:48
Implement backend logic for terms and conditions acknowledgment,SCRUM-70,10086,Story,Release Planning,SCRUM,JIRA PROJECT-1,software,suganthi sanjeev,712020:48899adb-18b6-4a57-bbac-6e2dfa730a33,,Medium,Done,,,suganthi sanjeev,712020:48899adb-18b6-4a57-bbac-6e2dfa730a33,suganthi sanjeev,712020:48899adb-18b6-4a57-bbac-6e2dfa730a33,03-05-2024 15:48,29-07-2024 16:46,29-07-2024 17:01,29-07-2024 16:46,,0,,,suganthi sanjeev,712020:48899adb-18b6-4a57-bbac-6e2dfa730a33,,,,,,,,,,,,,,,,,,,,,,,0|hzzzzu:,,,SPRINT 5,SPRINT 10,SPRINT 11,SPRINT 12,,,,,,,,,,,,,10007_*:*_1_*:*_25276_*|*_10000_*:*_1_*:*_19839325_*|*_10002_*:*_1_*:*_0_*|*_10001_*:*_1_*:*_390781_*|*_10004_*:*_1_*:*_7499867691_*|*_10006_*:*_1_*:*_47033_*|*_10005_*:*_1_*:*_110829,Done,29-07-2024 16:46
Design terms and conditions acknowledgement UI,SCRUM-69,10085,Story,Release Planning,SCRUM,JIRA PROJECT-1,software,suganthi sanjeev,712020:48899adb-18b6-4a57-bbac-6e2dfa730a33,,Medium,Done,,,suganthi sanjeev,712020:48899adb-18b6-4a57-bbac-6e2dfa730a33,suganthi sanjeev,712020:48899adb-18b6-4a57-bbac-6e2dfa730a33,03-05-2024 15:48,29-07-2024 16:45,29-07-2024 17:01,29-07-2024 16:45,,0,,,suganthi sanjeev,712020:48899adb-18b6-4a57-bbac-6e2dfa730a33,,,,,,,,,,,,,,,,,,,,,,,0|hzzzzq:f,,,SPRINT 5,SPRINT 10,SPRINT 11,SPRINT 12,,,,,,,,,,,,,10007_*:*_1_*:*_1858_*|*_10000_*:*_1_*:*_19847005_*|*_10002_*:*_1_*:*_0_*|*_10001_*:*_1_*:*_36151_*|*_10004_*:*_1_*:*_7499919892_*|*_10006_*:*_1_*:*_404045_*|*_10005_*:*_1_*:*_7728,Done,29-07-2024 16:45
Ensure compliance with PCI DSS requirements,SCRUM-68,10084,Story,Release Planning,SCRUM,JIRA PROJECT-1,software,suganthi sanjeev,712020:48899adb-18b6-4a57-bbac-6e2dfa730a33,,Medium,Done,,,suganthi sanjeev,712020:48899adb-18b6-4a57-bbac-6e2dfa730a33,suganthi sanjeev,712020:48899adb-18b6-4a57-bbac-6e2dfa730a33,03-05-2024 15:48,29-07-2024 16:45,29-07-2024 17:01,29-07-2024 16:45,,0,,,suganthi sanjeev,712020:48899adb-18b6-4a57-bbac-6e2dfa730a33,,,,,,,,,,,,,,,,,,,,,,,0|hzzzzq:,,,SPRINT 5,SPRINT 10,SPRINT 11,SPRINT 12,,,,,,,,,,,,,10007_*:*_1_*:*_2404_*|*_10000_*:*_1_*:*_19850555_*|*_10002_*:*_1_*:*_0_*|*_10001_*:*_1_*:*_46501_*|*_10004_*:*_1_*:*_7499912266_*|*_10006_*:*_1_*:*_399872_*|*_10005_*:*_1_*:*_5803,Done,29-07-2024 16:45
Ensure compliance with GDPR requirements,SCRUM-67,10083,Story,Release Planning,SCRUM,JIRA PROJECT-1,software,suganthi sanjeev,712020:48899adb-18b6-4a57-bbac-6e2dfa730a33,,Medium,Done,,,suganthi sanjeev,712020:48899adb-18b6-4a57-bbac-6e2dfa730a33,suganthi sanjeev,712020:48899adb-18b6-4a57-bbac-6e2dfa730a33,03-05-2024 15:48,29-07-2024 16:38,29-07-2024 17:01,29-07-2024 16:38,,0,,,suganthi sanjeev,712020:48899adb-18b6-4a57-bbac-6e2dfa730a33,,,,,,,,,,,,,,,,,,,,,,,0|hzzzzp:,,,SPRINT 5,SPRINT 10,,,,,,,,,,,,,,,10007_*:*_1_*:*_28836_*|*_10000_*:*_1_*:*_19855667_*|*_10002_*:*_1_*:*_0_*|*_10001_*:*_1_*:*_9044_*|*_10004_*:*_1_*:*_7499860974_*|*_10006_*:*_1_*:*_45836_*|*_10005_*:*_1_*:*_49068,Done,29-07-2024 16:38
Set up monitoring and alerting system for suspicious activity,SCRUM-66,10082,Story,Release Planning,SCRUM,JIRA PROJECT-1,software,suganthi sanjeev,712020:48899adb-18b6-4a57-bbac-6e2dfa730a33,,Medium,Done,,,suganthi sanjeev,712020:48899adb-18b6-4a57-bbac-6e2dfa730a33,suganthi sanjeev,712020:48899adb-18b6-4a57-bbac-6e2dfa730a33,03-05-2024 15:47,29-07-2024 16:38,29-07-2024 17:01,29-07-2024 16:38,,0,,,suganthi sanjeev,712020:48899adb-18b6-4a57-bbac-6e2dfa730a33,,,,,,,,,,,,,,,,,,,,,,,0|hzzzzn:,,,SPRINT 5,SPRINT 10,,,,,,,,,,,,,,,10007_*:*_1_*:*_35736_*|*_10000_*:*_1_*:*_19860658_*|*_10002_*:*_1_*:*_0_*|*_10001_*:*_1_*:*_15766_*|*_10004_*:*_1_*:*_7499861902_*|*_10006_*:*_1_*:*_5305_*|*_10005_*:*_1_*:*_24666,Done,29-07-2024 16:38
Implement encryption for sensitive data,SCRUM-65,10081,Story,Release Planning,SCRUM,JIRA PROJECT-1,software,suganthi sanjeev,712020:48899adb-18b6-4a57-bbac-6e2dfa730a33,,Medium,Done,,,suganthi sanjeev,712020:48899adb-18b6-4a57-bbac-6e2dfa730a33,suganthi sanjeev,712020:48899adb-18b6-4a57-bbac-6e2dfa730a33,03-05-2024 15:47,29-07-2024 16:38,29-07-2024 17:01,29-07-2024 16:38,,0,,,suganthi sanjeev,712020:48899adb-18b6-4a57-bbac-6e2dfa730a33,,,,,,,,,,,,,,,,,,,,,,,0|hzzzzo:,,,SPRINT 5,SPRINT 10,,,,,,,,,,,,,,,10008_*:*_1_*:*_55939_*|*_10007_*:*_1_*:*_2589_*|*_10000_*:*_1_*:*_19866890_*|*_10002_*:*_2_*:*_2396_*|*_10001_*:*_1_*:*_22631_*|*_10004_*:*_1_*:*_7499862727_*|*_10006_*:*_1_*:*_2647_*|*_10005_*:*_1_*:*_6999,Done,29-07-2024 16:38
Implement backend logic for transferring funds between own accounts,SCRUM-49,10065,Story,Release Planning,SCRUM,JIRA PROJECT-1,software,suganthi sanjeev,712020:48899adb-18b6-4a57-bbac-6e2dfa730a33,,Medium,Done,,,suganthi sanjeev,712020:48899adb-18b6-4a57-bbac-6e2dfa730a33,suganthi sanjeev,712020:48899adb-18b6-4a57-bbac-6e2dfa730a33,03-05-2024 15:44,29-07-2024 16:49,03-05-2024 21:14,29-07-2024 16:49,,0,,,suganthi sanjeev,712020:48899adb-18b6-4a57-bbac-6e2dfa730a33,,,,,,,,,,,,,,,,,,,,,,,0|hzzzzp:x,,,SPRINT 3,SPRINT 10,SPRINT 11,SPRINT 12,SPRINT 13,,,,,,,,,,,,10007_*:*_1_*:*_162356_*|*_10000_*:*_1_*:*_20015452_*|*_10002_*:*_1_*:*_0_*|*_10001_*:*_1_*:*_63220_*|*_10004_*:*_1_*:*_7500465695_*|*_10006_*:*_1_*:*_27664_*|*_10005_*:*_1_*:*_11756,Done,29-07-2024 16:49
Design funds transfer UI,SCRUM-48,10064,Story,Release Planning,SCRUM,JIRA PROJECT-1,software,suganthi sanjeev,712020:48899adb-18b6-4a57-bbac-6e2dfa730a33,,Medium,Done,,,suganthi sanjeev,712020:48899adb-18b6-4a57-bbac-6e2dfa730a33,suganthi sanjeev,712020:48899adb-18b6-4a57-bbac-6e2dfa730a33,03-05-2024 15:44,29-07-2024 16:49,03-05-2024 21:14,29-07-2024 16:49,,0,,,suganthi sanjeev,712020:48899adb-18b6-4a57-bbac-6e2dfa730a33,,,,,,,,,,,,,,,,,,,,,,,0|hzzzzp:v,,,SPRINT 3,SPRINT 10,SPRINT 11,SPRINT 12,SPRINT 13,,,,,,,,,,,,10007_*:*_1_*:*_192583_*|*_10000_*:*_1_*:*_1021333_*|*_10002_*:*_1_*:*_0_*|*_10001_*:*_1_*:*_40312_*|*_10004_*:*_1_*:*_7519465456_*|*_10006_*:*_1_*:*_23846_*|*_10005_*:*_1_*:*_7629,Done,29-07-2024 16:49
Design account balance display UI,SCRUM-39,10055,Story,Release Planning,SCRUM,JIRA PROJECT-1,software,suganthi sanjeev,712020:48899adb-18b6-4a57-bbac-6e2dfa730a33,,Medium,Done,,,suganthi sanjeev,712020:48899adb-18b6-4a57-bbac-6e2dfa730a33,suganthi sanjeev,712020:48899adb-18b6-4a57-bbac-6e2dfa730a33,03-05-2024 15:41,29-07-2024 16:52,29-07-2024 17:01,29-07-2024 16:52,,0,,,suganthi sanjeev,712020:48899adb-18b6-4a57-bbac-6e2dfa730a33,,,,,,,,,,,,,,,,,,,,,,,0|hzzzzp:y,,,SPRINT 2,SPRINT 6,SPRINT 10,SPRINT 11,SPRINT 12,SPRINT 13,,,,,,,,,,,10007_*:*_1_*:*_156006_*|*_10000_*:*_1_*:*_969065_*|*_10002_*:*_1_*:*_0_*|*_10001_*:*_1_*:*_52115_*|*_10004_*:*_1_*:*_7519876115_*|*_10006_*:*_1_*:*_13448_*|*_10005_*:*_1_*:*_12113,Done,29-07-2024 16:52
